% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 66.93    0.003479        1159         3           wait4
  7.83    0.000407         407         1           execve
  5.64    0.000293           8        35        28 openat
  4.62    0.000240           3        73        40 stat
  3.08    0.000160           3        49        32 access
  2.21    0.000115          12         9           mmap
  1.87    0.000097           4        24           lstat
  1.27    0.000066          16         4           mprotect
  1.15    0.000060          20         3           vfork
  1.12    0.000058           9         6           pread64
  0.85    0.000044           3        13           close
  0.67    0.000035          35         1           munmap
  0.38    0.000020           5         4           brk
  0.38    0.000020          10         2         1 arch_prctl
  0.37    0.000019           4         4           fstat
  0.31    0.000016           2         8           readlink
  0.31    0.000016           5         3           pipe2
  0.29    0.000015           2         6           read
  0.29    0.000015           5         3           unlink
  0.23    0.000012           6         2           getcwd
  0.21    0.000011           3         3           getpid
  0.00    0.000000           0         9           rt_sigaction
  0.00    0.000000           0         5           ioctl
  0.00    0.000000           0         2           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.005198                   272       101 total
